imageFileName,imageStem,imagePath,fileSizeBytes,fileHash,duplicateGroupSize
1063.jpg,1063,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1063.jpg,56344,df007d073a6f067ca9f3716428c54604fe0e008c8583696e02eb58dc94ff94bd,1
1064.jpg,1064,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1064.jpg,46062,8db4fec1be6acd35de8d0dc3b1dc7719ca9268ae0f48cf93468ef06fa9879ada,1
107.jpg,107,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/107.jpg,75267,d00da8b41e228b0fbd654f95d05222e9858ab6da05950acedd75c05592b5a916,1
108.jpg,108,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/108.jpg,66068,0796cf2130ead12ec22b078adfba60781810abfaab9a083638db4eda897d8ee9,1
109.jpg,109,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/109.jpg,138615,79e8b1b76bd87b705fff5d66f1441080091e33020b7edd9417686ca86a6b1326,1
11.jpg,11,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/11.jpg,47051,a6eeaecbb5ec2600788b2e4fbef9a5b056e15f67f128fef4f7f10501559e26c7,1
110.jpg,110,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/110.jpg,72304,c1e06e22bd5ad9822485901953f67eb3771d3ab7c93f1d8eed0cc2aa8f4ac856,1
111.jpg,111,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/111.jpg,42658,61380e22e62d233997c7aa36692b52476041c972063ef4bbd2ac6a4bfc444b98,1
112.jpg,112,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/112.jpg,101556,5e002b7972ff197bd5e6e06cc900b2669796c79f8a66fb8373a185fb77044875,1
113.jpg,113,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/113.jpg,55195,3f22db88431983f7ffb633a61b11e10c53b23eb4c26258f41abea1abf6463b80,1
114.jpg,114,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/114.jpg,97707,a3f1e6d8c3b6156f61a7e376b7afc871416997ef6b19ea5bbf76f7c77c114d14,1
115.jpg,115,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/115.jpg,85934,65c67b4a2c1154b1f10f554596607a3723a0e685a38ffb155f9e658f7c3830fc,1
116.jpg,116,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/116.jpg,221726,2602355ad79fe4d53313538073e8c29247d906c9e868ff6606cdf4f6684f8e45,1
117.jpg,117,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/117.jpg,126172,030e755022350316a084bf6ac22171b7af4e712e7283d065669dc418090a96bd,1
118.jpg,118,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/118.jpg,160407,e7e8b96b6cf08d2a92a62188b1784f126a8fb0650de35657929304a79729b1da,1
119.jpg,119,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/119.jpg,106360,e1ff0817e976bd6344f10a721aac39fa845bd140521ce025d778fab288563652,1
12.jpg,12,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/12.jpg,39006,807b2ed999e9ddecd066d28b26426dba716556fd94fd64bc3fc7d208b55e9fc9,1
120.jpg,120,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/120.jpg,46708,755f66288d8ae14658f556b6f26965cad9328ca2e81901c04987f5d4df67fe1e,1
121.jpg,121,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/121.jpg,87456,00335f01ea58c32174b9937efc402c046530b26f2227cbdbe92ab23b1cd620a9,1
122.jpg,122,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/122.jpg,128312,b759c84c4e1c8578cfd3e102901bdef813726e39601ce925b2400484d2649cb1,1
123.jpg,123,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/123.jpg,53969,3c635fd971547687af7f0dd46c026f81eebe4e7efc89f9e5717c3b8f72fed5da,1
124.jpg,124,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/124.jpg,86072,e4d879d0a86d49df79feaf25888b4dcfe63f9201663aa8081143f55c5db347b4,1
125.jpg,125,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/125.jpg,61459,7a156f8839b50576e49dd6cacfe39d344896df4142ec244891278e3cdef34c3f,1
126.jpg,126,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/126.jpg,46764,07999ec21dd74b4e703e6ac1ced0e3bd5a2c4afdfbe6fea94795338d11fb3c8c,1
